[2026-02-28 16:16:08] Task: Backtest User Portfolios | Multiprocessing: True | Time: 110.47s
[2026-02-28 16:20:48] Task: Backtest User Portfolios | Multiprocessing: False | Time: 0.00s
[2026-02-28 16:21:20] Task: Backtest User Portfolios | Multiprocessing: False | Time: 0.00s
[2026-02-28 16:26:04] Task: Backtest User Portfolios | Multiprocessing: False | Time: 212.90s
[2026-02-28 18:23:13] Task: Backtest User Portfolios | Multiprocessing: True | Time: 218.32s
[2026-02-28 18:44:21] Task: Lightweight Metrics Analysis | Multiprocessing: True | Time: 23.12s
[2026-02-28 18:49:25] Task: Backtest User Portfolios | Multiprocessing: True | Time: 139.33s
[2026-02-28 18:52:37] Task: Lightweight Metrics Analysis | Multiprocessing: True | Time: 27.67s
[2026-02-28 18:57:18] Task: Backtest User Portfolios | Multiprocessing: True | Time: 257.90s
[2026-02-28 19:11:42] Task: Lightweight Metrics Analysis | Multiprocessing: True | Time: 29.48s
[2026-02-28 20:01:39] Task: Backtest User Portfolios | Multiprocessing: True | Time: 281.71s
[2026-02-28 20:06:23] Task: Lightweight Metrics Analysis | Multiprocessing: True | Time: 37.45s
[2026-02-28 21:02:29] Task: Backtest User Portfolios | Multiprocessing: True | Time: 382.34s
[2026-02-28 21:11:10] Task: Lightweight Metrics Analysis | Multiprocessing: True | Time: 29.51s
[2026-02-28 21:21:06] Task: Backtest User Portfolios | Multiprocessing: True | Time: 0.07s
[2026-02-28 21:27:21] Task: Backtest User Portfolios | Multiprocessing: True | Time: 318.92s
[2026-02-28 21:29:10] Task: Lightweight Metrics Analysis | Multiprocessing: True | Time: 26.43s
[2026-02-28 21:29:44] Task: Backtest User Portfolios | Multiprocessing: True | Time: 0.06s
[2026-02-28 21:40:37] Task: Backtest User Portfolios | Multiprocessing: True | Time: 267.61s
[2026-02-28 21:48:34] Task: Lightweight Metrics Analysis | Multiprocessing: True | Time: 33.02s
[2026-02-28 21:50:34] Task: Backtest User Portfolios | Multiprocessing: True | Time: 0.10s
[2026-02-28 22:10:04] Task: Backtest User Portfolios | Multiprocessing: True | Time: 150.56s
[2026-02-28 22:24:25] Task: Lightweight Metrics Analysis | Multiprocessing: True | Time: 23.26s
[2026-02-28 22:28:57] Task: Lightweight Metrics Analysis | Multiprocessing: True | Time: 21.83s
[2026-02-28 22:32:16] Task: Backtest User Portfolios | Multiprocessing: True | Time: 171.95s
[2026-02-28 22:42:39] Task: Lightweight Metrics Analysis | Multiprocessing: True | Time: 24.46s
[2026-02-28 23:18:22] Task: Lightweight Metrics Analysis | Multiprocessing: True | Time: 0.01s
[2026-02-28 23:20:08] Task: Lightweight Metrics Analysis | Multiprocessing: True | Time: 86.43s
[2026-02-28 23:26:27] Task: Backtest User Portfolios | Multiprocessing: True | Time: 0.05s
